"Term","Search","Next","Freq"
"important to me and","important to me","and",7
"impossible for me to","impossible for me","to",7
"improve the quality of","improve the quality","of",7
"in a bad way","in a bad","way",7
"in a better place","in a better","place",7
"in a bowl with","in a bowl","with",7
"in a certain way","in a certain","way",7
"in a completely different","in a completely","different",7
"in a dark room","in a dark","room",7
"in a day or","in a day","or",7
"in a little over","in a little","over",7
"in a little while","in a little","while",7
"in a meeting with","in a meeting","with",7
"in a moment of","in a moment","of",7
"in a mph zone","in a mph","zone",7
"in a pan and","in a pan","and",7
"in a previous post","in a previous","post",7
"in a room full","in a room","full",7
"in a short period","in a short","period",7
"in a situation where","in a situation","where",7
"in a statement it","in a statement","it",7
"in a statement to","in a statement","to",7
"in a very short","in a very","short",7
"in a victory over","in a victory","over",7
"in a way i","in a way","i",7
"in a week and","in a week","and",7
"in a while and","in a while","and",7
"in about a month","in about a","month",7
"in according to a","in according to","a",7
"in all of my","in all of","my",7
"in an era when","in an era","when",7
"in an interview thursday","in an interview","thursday",7
"in at least one","in at least","one",7
"in case you want","in case you","want",7
"in case youre wondering","in case youre","wondering",7
"in downtown st louis","in downtown st","louis",7
"in each of his","in each of","his",7
"in fact there are","in fact there","are",7
"in front of an","in front of","an",7
"in his or her","in his or","her",7
"in honor of my","in honor of","my",7
"in its first year","in its first","year",7
"in its th year","in its th","year",7
"in large part because","in large part","because",7
"in literary history on","in literary history","on",7
"in los angeles i","in los angeles","i",7
"in love with your","in love with","your",7
"in many ways i","in many ways","i",7
"in me and i","in me and","i",7
"in my life is","in my life","is",7
"in my mind that","in my mind","that",7
"in my own life","in my own","life",7
"in need of some","in need of","some",7
"in new york is","in new york","is",7
"in new york on","in new york","on",7
"in new york this","in new york","this",7
"in north st louis","in north st","louis",7
"in on the fun","in on the","fun",7
"in one fell swoop","in one fell","swoop",7
"in one place for","in one place","for",7
"in order to survive","in order to","survive",7
"in other news the","in other news","the",7
"in other words a","in other words","a",7
"in other words i","in other words","i",7
"in other words we","in other words","we",7
"in other words you","in other words","you",7
"in our daily lives","in our daily","lives",7
"in our living room","in our living","room",7
"in part because they","in part because","they",7
"in partnership with the","in partnership with","the",7
"in place for the","in place for","the",7
"in prison if convicted","in prison if","convicted",7
"in quite some time","in quite some","time",7
"in real life and","in real life","and",7
"in response to an","in response to","an",7
"in san diego county","in san diego","county",7
"in so many different","in so many","different",7
"in that case i","in that case","i",7
"in the area are","in the area","are",7
"in the armed forces","in the armed","forces",7
"in the background and","in the background","and",7
"in the best possible","in the best","possible",7
"in the book of","in the book","of",7
"in the building and","in the building","and",7
"in the care of","in the care","of",7
"in the case and","in the case","and",7
"in the centre of","in the centre","of",7
"in the chicago area","in the chicago","area",7
"in the cleveland area","in the cleveland","area",7
"in the country to","in the country","to",7
"in the dead of","in the dead","of",7
"in the deaths of","in the deaths","of",7
"in the democratic primary","in the democratic","primary",7
"in the draft and","in the draft","and",7
"in the dressing room","in the dressing","room",7
"in the early th","in the early","th",7
"in the end this","in the end","this",7
"in the end though","in the end","though",7
"in the entertainment industry","in the entertainment","industry",7
"in the entire world","in the entire","world",7
"in the evening and","in the evening","and",7
"in the eye and","in the eye","and",7
"in the face by","in the face","by",7
"in the family room","in the family","room",7
"in the final game","in the final","game",7
"in the first and","in the first","and",7
"in the first four","in the first","four",7
"in the front row","in the front","row",7
"in the future if","in the future","if",7
"in the future when","in the future","when",7
"in the hearts of","in the hearts","of",7
"in the hope of","in the hope","of",7
"in the house the","in the house","the",7
"in the kansas city","in the kansas","city",7
"in the killing of","in the killing","of",7
"in the league and","in the league","and",7
"in the middle i","in the middle","i",7
"in the mids and","in the mids","and",7
"in the minds of","in the minds","of",7
"in the most recent","in the most","recent",7
"in the nation and","in the nation","and",7
"in the near term","in the near","term",7
"in the next five","in the next","five",7
"in the next months","in the next","months",7
"in the next year","in the next","year",7
"in the nfl and","in the nfl","and",7
"in the nineteenth century","in the nineteenth","century",7
"in the office today","in the office","today",7
"in the oven and","in the oven","and",7
"in the park and","in the park","and",7
"in the past couple","in the past","couple",7
"in the past four","in the past","four",7
"in the past it","in the past","it",7
"in the position of","in the position","of",7
"in the press box","in the press","box",7
"in the price of","in the price","of",7
"in the public sector","in the public","sector",7
"in the s he","in the s","he",7
"in the s or","in the s","or",7
"in the same breath","in the same","breath",7
"in the same day","in the same","day",7
"in the same place","in the same","place",7
"in the same year","in the same","year",7
"in the school year","in the school","year",7
"in the season opener","in the season","opener",7
"in the second act","in the second","act",7
"in the second game","in the second","game",7
"in the seventh round","in the seventh","round",7
"in the shooting death","in the shooting","death",7
"in the shower and","in the shower","and",7
"in the sixth and","in the sixth","and",7
"in the south and","in the south","and",7
"in the spirit and","in the spirit","and",7
"in the spring and","in the spring","and",7
"in the state senate","in the state","senate",7
"in the states i","in the states","i",7
"in the streets of","in the streets","of",7
"in the summer and","in the summer","and",7
"in the th and","in the th","and",7
"in the th grade","in the th","grade",7
"in the top three","in the top","three",7
"in the us for","in the us","for",7
"in the us they","in the us","they",7
"in the vicinity of","in the vicinity","of",7
"in the way and","in the way","and",7
"in the way i","in the way","i",7
"in the way they","in the way","they",7
"in the wee hours","in the wee","hours",7
"in the whole wide","in the whole","wide",7
"in the world so","in the world","so",7
"in the world this","in the world","this",7
"in the world today","in the world","today",7
"in the world when","in the world","when",7
"in the wrong place","in the wrong","place",7
"in the year the","in the year","the",7
"in the years to","in the years","to",7
"in their s and","in their s","and",7
"in this case a","in this case","a",7
"in this case it","in this case","it",7
"in this country is","in this country","is",7
"in this is a","in this is","a",7
"in this years draft","in this years","draft",7
"in touch with her","in touch with","her",7
"in upstate new york","in upstate new","york",7
"in which he has","in which he","has",7
"in your customer area","in your customer","area",7
"in your neck of","in your neck","of",7
"information on how to","information on how","to",7
"inside and outside the","inside and outside","the",7
"institute for supply management","institute for supply","management",7
"into a double play","into a double","play",7
"into my life i","into my life","i",7
"into some kind of","into some kind","of",7
"into the bottom of","into the bottom","of",7
"into the center of","into the center","of",7
"into the house and","into the house","and",7
"into the world to","into the world","to",7
"is a blend of","is a blend","of",7
"is a book that","is a book","that",7
"is a brand new","is a brand","new",7
"is a collection of","is a collection","of",7
"is a fan of","is a fan","of",7
"is a film that","is a film","that",7
"is a group of","is a group","of",7
"is a man of","is a man","of",7
"is a sort of","is a sort","of",7
"is a team that","is a team","that",7
"is a very special","is a very","special",7
"is a very very","is a very","very",7
"is a work of","is a work","of",7
"is about to change","is about to","change",7
"is about to go","is about to","go",7
"is about to start","is about to","start",7
"is all i have","is all i","have",7
"is an opportunity for","is an opportunity","for",7
"is as important as","is as important","as",7
"is as much a","is as much","a",7
"is at the center","is at the","center",7
"is available at the","is available at","the",7
"is being held at","is being held","at",7
"is believed to have","is believed to","have",7
"is considered to be","is considered to","be",7
"is dollars casting code","is dollars casting","code",7
"is every bit as","is every bit","as",7
"is expected to take","is expected to","take",7
"is far better than","is far better","than",7
"is far from over","is far from","over",7
"is for us to","is for us","to",7
"is going on i","is going on","i",7
"is going to cost","is going to","cost",7
"is going to die","is going to","die",7
"is going to kill","is going to","kill",7
"is going to look","is going to","look",7
"is going to run","is going to","run",7
"is gonna be so","is gonna be","so",7
"is good enough for","is good enough","for",7
"is he going to","is he going","to",7
"is here to stay","is here to","stay",7
"is how i feel","is how i","feel",7
"is i dont know","is i dont","know",7
"is if you are","is if you","are",7
"is in full swing","is in full","swing",7
"is in need of","is in need","of",7
"is in the hands","is in the","hands",7
"is it ok to","is it ok","to",7
"is it wrong to","is it wrong","to",7
"is just so much","is just so","much",7
"is just the beginning","is just the","beginning",7
"is known about the","is known about","the",7
"is lucky to have","is lucky to","have",7
"is made in the","is made in","the",7
"is made out of","is made out","of",7
"is more or less","is more or","less",7
"is my th tweet","is my th","tweet",7
"is no stranger to","is no stranger","to",7
"is not about the","is not about","the",7
"is not an act","is not an","act",7
"is not an easy","is not an","easy",7
"is not easy to","is not easy","to",7
"is not just the","is not just","the",7
"is nothing but a","is nothing but","a",7
"is now following me","is now following","me",7
"is now on the","is now on","the",7
"is on her way","is on her","way",7
"is on pace to","is on pace","to",7
"is on the rise","is on the","rise",7
"is on the table","is on the","table",7
"is on the verge","is on the","verge",7
"is on track to","is on track","to",7
"is out of town","is out of","town",7
"is owned by the","is owned by","the",7
"is president of the","is president of","the",7
"is probably going to","is probably going","to",7
"is probably why i","is probably why","i",7
"is really just a","is really just","a",7
"is right for you","is right for","you",7
"is right in the","is right in","the",7
"is safe to say","is safe to","say",7
"is set in the","is set in","the",7
"is so easy to","is so easy","to",7
"is so hard to","is so hard","to",7
"is something of a","is something of","a",7
"is something that you","is something that","you",7
"is something to be","is something to","be",7
"is sort of a","is sort of","a",7
"is still a lot","is still a","lot",7
"is still going strong","is still going","strong",7
"is such a big","is such a","big",7
"is taking place in","is taking place","in",7
"is that it has","is that it","has",7
"is that its not","is that its","not",7
"is that too much","is that too","much",7
"is that we can","is that we","can",7
"is the answer to","is the answer","to",7
"is the best for","is the best","for",7
"is the big day","is the big","day",7
"is the day that","is the day","that",7
"is the epitome of","is the epitome","of",7
"is the father of","is the father","of",7
"is the focus of","is the focus","of",7
"is the hardest part","is the hardest","part",7
"is the latest in","is the latest","in",7
"is the one thing","is the one","thing",7
"is the only place","is the only","place",7
"is the time for","is the time","for",7
"is the way i","is the way","i",7
"is to find a","is to find","a",7
"is up and running","is up and","running",7
"is very good at","is very good","at",7
"is what i do","is what i","do",7
"is what we are","is what we","are",7
"is what you make","is what you","make",7
"is whether or not","is whether or","not",7
"is why i have","is why i","have",7
"is working on the","is working on","the",7
"is working with the","is working with","the",7
"is your chance to","is your chance","to",7
"isnt going to make","isnt going to","make",7
"issues of the day","issues of the","day",7
"it a couple of","it a couple","of",7
"it a great day","it a great","day",7
"it a point to","it a point","to",7
"it according to the","it according to","the",7
"it all figured out","it all figured","out",7
"it all starts with","it all starts","with",7
"it all worked out","it all worked","out",7
"it and i love","it and i","love",7
"it at first but","it at first","but",7
"it at some point","it at some","point",7
"it at the same","it at the","same",7
"it breaks my heart","it breaks my","heart",7
"it came to the","it came to","the",7
"it can be the","it can be","the",7
"it comes to this","it comes to","this",7
"it does not take","it does not","take",7
"it doesnt help that","it doesnt help","that",7
"it doesnt mean that","it doesnt mean","that",7
"it easier for you","it easier for","you",7
"it feels like it","it feels like","it",7
"it for me i","it for me","i",7
"it get any better","it get any","better",7
"it gives me a","it gives me","a",7
"it had to do","it had to","do",7
"it has a nice","it has a","nice",7
"it has been said","it has been","said",7
"it has been the","it has been","the",7
"it has been years","it has been","years",7
"it have a great","it have a","great",7
"it i cant believe","it i cant","believe",7
"it in addition to","it in addition","to",7
"it in front of","it in front","of",7
"it in the air","it in the","air",7
"it is a long","it is a","long",7
"it is a lot","it is a","lot",7
"it is a time","it is a","time",7
"it is always the","it is always","the",7
"it is as if","it is as","if",7
"it is because i","it is because","i",7
"it is because of","it is because","of",7
"it is great to","it is great","to",7
"it is illegal to","it is illegal","to",7
"it is meant to","it is meant","to",7
"it is much easier","it is much","easier",7
"it is not easy","it is not","easy",7
"it is not possible","it is not","possible",7
"it is on the","it is on","the",7
"it is said that","it is said","that",7
"it is so good","it is so","good",7
"it is the one","it is the","one",7
"it is too late","it is too","late",7
"it is very difficult","it is very","difficult",7
"it looked like the","it looked like","the",7
"it looking forward to","it looking forward","to",7
"it looks like he","it looks like","he",7
"it made me laugh","it made me","laugh",7
"it made me think","it made me","think",7
"it makes for an","it makes for","an",7
"it makes me want","it makes me","want",7
"it makes no sense","it makes no","sense",7
"it me or does","it me or","does",7
"it might as well","it might as","well",7
"it might be the","it might be","the",7
"it only makes sense","it only makes","sense",7
"it out in the","it out in","the",7
"it right now i","it right now","i",7
"it seems to have","it seems to","have",7
"it sounds like the","it sounds like","the",7
"it takes a little","it takes a","little",7
"it takes courage to","it takes courage","to",7
"it to me i","it to me","i",7
"it to win it","it to win","it",7
"it took a little","it took a","little",7
"it took a lot","it took a","lot",7
"it took me so","it took me","so",7
"it up at the","it up at","the",7
"it up on the","it up on","the",7
"it was a day","it was a","day",7
"it was a quick","it was a","quick",7
"it was a total","it was a","total",7
"it was an easy","it was an","easy",7
"it was but i","it was but","i",7
"it was discovered that","it was discovered","that",7
"it was due to","it was due","to",7
"it was fun and","it was fun","and",7
"it was good but","it was good","but",7
"it was in a","it was in","a",7
"it was just as","it was just","as",7
"it was just me","it was just","me",7
"it was just one","it was just","one",7
"it was more like","it was more","like",7
"it was necessary to","it was necessary","to",7
"it was no longer","it was no","longer",7
"it was not until","it was not","until",7
"it was on the","it was on","the",7
"it was pretty much","it was pretty","much",7
"it was really fun","it was really","fun",7
"it was so fun","it was so","fun",7
"it was so funny","it was so","funny",7
"it was sort of","it was sort","of",7
"it was the perfect","it was the","perfect",7
"it was the th","it was the","th",7
"it was very difficult","it was very","difficult",7
"it was worth the","it was worth","the",7
"it wasnt a big","it wasnt a","big",7
"it wasnt just a","it wasnt just","a",7
"it wasnt long before","it wasnt long","before",7
"it wasnt so much","it wasnt so","much",7
"it we have a","it we have","a",7
"it what do you","it what do","you",7
"it what is the","it what is","the",7
"it will all be","it will all","be",7
"it will be an","it will be","an",7
"it will be easier","it will be","easier",7
"it will be easy","it will be","easy",7
"it will be held","it will be","held",7
"it will be my","it will be","my",7
"it will be so","it will be","so",7
"it will be up","it will be","up",7
"it will be very","it will be","very",7
"it will be worth","it will be","worth",7
"it will help you","it will help","you",7
"it works for me","it works for","me",7
"it would be amazing","it would be","amazing",7
"it would be funny","it would be","funny",7
"it would be perfect","it would be","perfect",7
"it would make a","it would make","a",7
"it would make sense","it would make","sense",7
"it would not have","it would not","have",7
"item b projected above","item b projected","above",7
"itll be a good","itll be a","good",7
"its a bad idea","its a bad","idea",7
"its a great feeling","its a great","feeling",7
"its a lot easier","its a lot","easier",7
"its a place where","its a place","where",7
"its a shame that","its a shame","that",7
"its all good i","its all good","i",7
"its all said and","its all said","and",7
"its almost time for","its almost time","for",7
"its amazing how much","its amazing how","much",7
"its an honor to","its an honor","to",7
"its available in your","its available in","your",7
"its back to the","its back to","the",7
"its been a crazy","its been a","crazy",7
"its been a very","its been a","very",7
"its better to have","its better to","have",7
"its hard to see","its hard to","see",7
"its hard to tell","its hard to","tell",7
"its just that i","its just that","i",7
"its just the way","its just the","way",7
"its kind of hard","its kind of","hard",7
"its not about the","its not about","the",7
"its not clear how","its not clear","how",7
"its not easy to","its not easy","to",7
"its not just me","its not just","me",7
"its not so much","its not so","much",7
"its not surprising that","its not surprising","that",7
"its on its way","its on its","way",7
"its only going to","its only going","to",7
"its th anniversary this","its th anniversary","this",7
"its the same thing","its the same","thing",7
"its time for us","its time for","us",7
"its what you do","its what you","do",7
"its worth noting that","its worth noting","that",7
"ive been away from","ive been away","from",7
"ive been looking for","ive been looking","for",7
"ive been thinking of","ive been thinking","of",7
"ive come up with","ive come up","with",7
"ive got a lot","ive got a","lot",7
"jail in lieu of","jail in lieu","of",7
"jesus on judgment day","jesus on judgment","day",7
"john f kennedy international","john f kennedy","international",7
"join us for our","join us for","our",7
"judge a book by","judge a book","by",7
"jump out of a","jump out of","a",7
"jumping up and down","jumping up and","down",7
"just a bunch of","just a bunch","of",7
"just a few feet","just a few","feet",7
"just a few minutes","just a few","minutes",7
"just a few months","just a few","months",7
"just a handful of","just a handful","of",7
"just a little more","just a little","more",7
"just a short drive","just a short","drive",7
"just as likely to","just as likely","to",7
"just as soon as","just as soon","as",7
"just as well as","just as well","as",7
"just came up with","just came up","with",7
"just cant get enough","just cant get","enough",7
"just dont know how","just dont know","how",7
"just for the sake","just for the","sake",7
"just go with it","just go with","it",7
"just happened to me","just happened to","me",7
"just happens to be","just happens to","be",7
"just have to do","just have to","do",7
"just in case i","just in case","i",7
"just long enough to","just long enough","to",7
"just looked at the","just looked at","the",7
"just needs to be","just needs to","be",7
"just one or two","just one or","two",7
"just percent of the","just percent of","the",7
"just pissed me off","just pissed me","off",7
"just saw a commercial","just saw a","commercial",7
"just so happens that","just so happens","that",7
"just some of the","just some of","the",7
"just thinking the same","just thinking the","same",7
"just trying to be","just trying to","be",7
"just wanna go home","just wanna go","home",7
"just want to know","just want to","know",7
"just wanted to make","just wanted to","make",7
"just wanted to thank","just wanted to","thank",7
"just what i needed","just what i","needed",7
"just what you need","just what you","need",7
"keep in mind the","keep in mind","the",7
"keep it a secret","keep it a","secret",7
"keep it that way","keep it that","way",7
"keep it up i","keep it up","i",7
"keep the momentum going","keep the momentum","going",7
"keep up with all","keep up with","all",7
"keep us posted on","keep us posted","on",7
"keep you posted on","keep you posted","on",7
"keep your eyes peeled","keep your eyes","peeled",7
"keep your fingers crossed","keep your fingers","crossed",7
"kept him out of","kept him out","of",7
"kind of want to","kind of want","to",7
"knew i wanted to","knew i wanted","to",7
"knew i was going","knew i was","going",7
"knew it was a","knew it was","a",7
"knew we were going","knew we were","going",7
"know how long it","know how long","it",7
"know how to work","know how to","work",7
"know i know but","know i know","but",7
"know if i could","know if i","could",7
"know if i want","know if i","want",7
"know if it was","know if it","was",7
"know if its a","know if its","a",7
"know if there is","know if there","is",7
"know if this is","know if this","is",7
"know more about the","know more about","the",7
"know of any good","know of any","good",7
"know some of you","know some of","you",7
"know that im not","know that im","not",7
"know that we have","know that we","have",7
"know that you can","know that you","can",7
"know there are some","know there are","some",7
"know what i was","know what i","was",7
"know what it was","know what it","was",7
"know what they want","know what they","want",7
"know what theyre doing","know what theyre","doing",7
"know whats going to","know whats going","to",7
"know when you get","know when you","get",7
"know where im going","know where im","going",7
"kool and the gang","kool and the","gang",7
"larceny a larceny was","larceny a larceny","was",7
"larceny was reported at","larceny was reported","at",7
"last couple of months","last couple of","months",7
"last night with my","last night with","my",7
"last time i had","last time i","had",7
"last week when i","last week when","i",7
"last year as a","last year as","a",7
"last year i think","last year i","think",7
"last year there were","last year there","were",7
"last year with the","last year with","the",7
"late in the day","late in the","day",7
"later in the season","later in the","season",7
"later this year the","later this year","the",7
"league of women voters","league of women","voters",7
"learn a lot from","learn a lot","from",7
"learn to be a","learn to be","a",7
"learning more about the","learning more about","the",7
"least a couple of","least a couple","of",7
"least once a day","least once a","day",7
"leave a comment and","leave a comment","and",7
"leave me alone i","leave me alone","i",7
"led the blazers with","led the blazers","with",7
"left in the game","left in the","game",7
"left me with a","left me with","a",7
"left of jesus on","left of jesus","on",7
"less likely to be","less likely to","be",7
"less than of the","less than of","the",7
"less than two hours","less than two","hours",7
"let her know that","let her know","that",7
"let it be known","let it be","known",7
"let it sit for","let it sit","for",7
"let me get this","let me get","this",7
"let me know in","let me know","in",7
"let me know you","let me know","you",7
"let you know i","let you know","i",7
"let you know what","let you know","what",7
"lets go back to","lets go back","to",7
"lets go to the","lets go to","the",7
"lets see if i","lets see if","i",7
"life and times of","life and times","of",7
"life depended on it","life depended on","it",7
"life is all about","life is all","about",7
"life isnt about finding","life isnt about","finding",7
"life of the party","life of the","party",7
"light up my world","light up my","world",7
"like going to the","like going to","the",7
"like that its a","like that its","a",7
"like the ones in","like the ones","in",7
"like the way it","like the way","it",7
"like the way you","like the way","you",7
"like to be able","like to be","able",7
"like to know what","like to know","what",7
"like to say i","like to say","i",7
"like to see some","like to see","some",7
"like to talk to","like to talk","to",7
"like what you see","like what you","see",7
"link in the comments","link in the","comments",7
"little bit of the","little bit of","the",7
"little bit of time","little bit of","time",7
"little red riding hood","little red riding","hood",7
"live in a small","live in a","small",7
"live to fight another","live to fight","another",7
"live up to their","live up to","their",7
"living by what we","living by what","we",7
"living in the united","living in the","united",7
"lol i love you","lol i love","you",7
"long as you have","long as you","have",7
"long enough to get","long enough to","get",7
"long periods of time","long periods of","time",7
"long time no talk","long time no","talk",7
"look at it as","look at it","as",7
"look at them and","look at them","and",7
"look forward to a","look forward to","a",7
"look forward to connecting","look forward to","connecting",7
"looked like he was","looked like he","was",7
"looking for a way","looking for a","way",7
"looking for someone to","looking for someone","to",7
"looking for the perfect","looking for the","perfect",7
"looking forward to following","looking forward to","following",7
"looking forward to more","looking forward to","more",7
"looking forward to watching","looking forward to","watching",7
"looking out for me","looking out for","me",7
"looks like we have","looks like we","have",7
"looks more like a","looks more like","a",7
"loss of the season","loss of the","season",7
"lot of fun and","lot of fun","and",7
"lot of people dont","lot of people","dont",7
"lot of people have","lot of people","have",7
"lot of people think","lot of people","think",7
"lot of time to","lot of time","to",7
"lot to be desired","lot to be","desired",7
"love it but i","love it but","i",7
"love it when people","love it when","people",7
"love that song i","love that song","i",7
"love to be able","love to be","able",7
"love to hear it","love to hear","it",7
"loves you so much","loves you so","much",7
"loyola university of chicago","loyola university of","chicago",7
"made a couple of","made a couple","of",7
"made it difficult to","made it difficult","to",7
"made my day i","made my day","i",7
"made my way to","made my way","to",7
"made of free throws","made of free","throws",7
"made the right choice","made the right","choice",7
"made their way to","made their way","to",7
"made up for it","made up for","it",7
"made up of a","made up of","a",7
"make a living by","make a living","by",7
"make it clear that","make it clear","that",7
"make it difficult for","make it difficult","for",7
"make it harder for","make it harder","for",7
"make it look like","make it look","like",7
"make it out of","make it out","of",7
"make it seem like","make it seem","like",7
"make my nightmiobi taught","make my nightmiobi","taught",7
"make sure there are","make sure there","are",7
"make sure you leave","make sure you","leave",7
"make the world a","make the world","a",7
"makes all the difference","makes all the","difference",7
"makes it easier to","makes it easier","to",7
"makes it even more","makes it even","more",7
"makes it hard to","makes it hard","to",7
"makes me think about","makes me think","about",7
"makes up for the","makes up for","the",7
"making a difference in","making a difference","in",7
"making it easier to","making it easier","to",7
"man and one woman","man and one","woman",7
"man was shot in","man was shot","in",7
"many members of the","many members of","the",7
"many of the other","many of the","other",7
"many of us who","many of us","who",7
"marked the first time","marked the first","time",7
"marks the first time","marks the first","time",7
"marks the th anniversary","marks the th","anniversary",7
"matter of fact i","matter of fact","i",7
"may not always be","may not always","be",7
"may not be enough","may not be","enough",7
"maybe i can get","maybe i can","get",7
"maybe i should try","maybe i should","try",7
"maybe it is because","maybe it is","because",7
"maybe it will be","maybe it will","be",7
"maybe its just me","maybe its just","me",7
"me a bit of","me a bit","of",7
"me a copy of","me a copy","of",7
"me and my brother","me and my","brother",7
"me and my friends","me and my","friends",7
"me and my sister","me and my","sister",7
"me and tell me","me and tell","me",7
"me and what i","me and what","i",7
"me at the time","me at the","time",7
"me but it was","me but it","was",7
"me cant wait to","me cant wait","to",7
"me i am so","me i am","so",7
"me i have no","me i have","no",7
"me i love the","me i love","the",7
"me i think i","me i think","i",7
"me if you have","me if you","have",7
"me if you need","me if you","need",7
"me im a big","me im a","big",7
"me im going to","me im going","to",7
"me in the face","me in the","face",7
"me is that i","me is that","i",7
"me it was the","me it was","the",7
"me know and i","me know and","i",7
"me know and ill","me know and","ill",7
"me looking forward to","me looking forward","to",7
"me me me me","me me me","me",7
"me out of here","me out of","here",7
"me out of my","me out of","my",7
"me out of this","me out of","this",7
"me sick to my","me sick to","my",7
"me so much of","me so much","of",7
"me that he had","me that he","had",7
"me that i had","me that i","had",7
"me that i should","me that i","should",7
"me that i would","me that i","would",7
"me think of the","me think of","the",7
"me this is the","me this is","the",7
"me this long to","me this long","to",7
"me to get out","me to get","out",7
"me to say that","me to say","that",7
"me to shoot for","me to shoot","for",7
"me to talk to","me to talk","to",7
"means its time to","means its time","to",7
"meet up with the","meet up with","the",7
"meet you in person","meet you in","person",7
"member of the team","member of the","team",7
"men and women in","men and women","in",7
"men and women of","men and women","of",7
"middle of the road","middle of the","road",7
"midway through the second","midway through the","second",7
"might as well go","might as well","go",7
"might be tempted to","might be tempted","to",7
"might be time to","might be time","to",7
"might have to go","might have to","go",7
"might not want to","might not want","to",7
"million a year ago","million a year","ago",7
"million according to the","million according to","the",7
"million people in the","million people in","the",7
"million square feet of","million square feet","of",7
"minutes at a time","minutes at a","time",7
"minutes or until a","minutes or until","a",7
"miss out on the","miss out on","the",7
"mixer fitted with the","mixer fitted with","the",7
"money money money money","money money money","money",7
"money to buy a","money to buy","a",7
"more and more like","more and more","like",7
"more details to come","more details to","come",7
"more than i do","more than i","do",7
"more than in the","more than in","the",7
"more than million to","more than million","to",7
"more than one occasion","more than one","occasion",7
"more than people in","more than people","in",7
"more than people were","more than people","were",7
"more than three months","more than three","months",7
"more than three times","more than three","times",7
"more than years in","more than years","in",7
"more than you know","more than you","know",7
"more to it than","more to it","than",7
"morning i woke up","morning i woke","up",7
"most of all the","most of all","the",7
"most of my friends","most of my","friends",7
"most of the rest","most of the","rest",7
"most of them have","most of them","have",7
"most of us would","most of us","would",7
"mothers day i love","mothers day i","love",7
"moved on to the","moved on to","the",7
"moving to a new","moving to a","new",7
"much as i did","much as i","did",7
"much for following me","much for following","me",7
"much i want to","much i want","to",7
"much of it is","much of it","is",7
"much of the day","much of the","day",7
"much of the world","much of the","world",7
"murder in the death","murder in the","death",7
"music to my ears","music to my","ears",7
"must come to an","must come to","an",7
"my best friend is","my best friend","is",7
"my birthday is in","my birthday is","in",7
"my cup of tea","my cup of","tea",7
"my father was a","my father was","a",7
"my favorite people in","my favorite people","in",7
"my favorite thing to","my favorite thing","to",7
"my head around it","my head around","it",7
"my head in the","my head in","the",7
"my heart and i","my heart and","i",7
"my life for the","my life for","the",7
"my list of things","my list of","things",7
"my love for the","my love for","the",7
"my mom told me","my mom told","me",7
"my name on the","my name on","the",7
"my nightmiobi taught me","my nightmiobi taught","me",7
"my relationship with my","my relationship with","my",7
"my way home from","my way home","from",7
"my week with marilyn","my week with","marilyn",7
"my year old daughter","my year old","daughter",7
"national conference of state","national conference of","state",7
"national letter of intent","national letter of","intent",7
"national register of historic","national register of","historic",7
"need a break from","need a break","from",7
"need i say more","need i say","more",7
"need more time to","need more time","to",7
"need someone to talk","need someone to","talk",7
"need to be made","need to be","made",7
"need to be told","need to be","told",7
"need to be very","need to be","very",7
"need to do this","need to do","this",7
"need to find something","need to find","something",7
"need to get me","need to get","me",7
"need to go through","need to go","through",7
"need to know what","need to know","what",7
"need to listen to","need to listen","to",7
"need to make it","need to make","it",7
"need to work out","need to work","out",7
"needless to say the","needless to say","the",7
"needs to get a","needs to get","a",7
"needs to learn how","needs to learn","how",7
"needs to take a","needs to take","a",7
"never ceases to amaze","never ceases to","amaze",7
"never in a million","never in a","million",7
"never know what you","never know what","you",7
"never thought id see","never thought id","see",7
"new collective bargaining agreement","new collective bargaining","agreement",7
"new york and the","new york and","the",7
"new york times and","new york times","and",7
"next few days i","next few days","i",7
"next time i see","next time i","see",7
"next to each other","next to each","other",7
"next week or so","next week or","so",7
"nice meeting you at","nice meeting you","at",7
"nice to be back","nice to be","back",7
"nightmiobi taught me to","nightmiobi taught me","to",7
"no arrests have been","no arrests have","been",7
"no doubt about that","no doubt about","that",7
"no doubt in my","no doubt in","my",7
"no i do not","no i do","not",7
"no i dont think","no i dont","think",7
"no idea what that","no idea what","that",7
"no idea what they","no idea what","they",7
"no im not going","no im not","going",7
"no knowledge of the","no knowledge of","the",7
"no longer have the","no longer have","the",7
"no longer have to","no longer have","to",7
"no matter how bad","no matter how","bad",7
"no matter how old","no matter how","old",7
"no matter what he","no matter what","he",7
"no matter what they","no matter what","they",7
"no matter what your","no matter what","your",7
"no matter who you","no matter who","you",7
"no not at all","no not at","all",7
"no one else is","no one else","is",7
"no one is perfect","no one is","perfect",7
"no question about it","no question about","it",7
"no surprise that the","no surprise that","the",7
"no team in the","no team in","the",7
"no way i can","no way i","can",7
"none of my friends","none of my","friends",7
"none of this is","none of this","is",7
"none of this would","none of this","would",7
"north side of the","north side of","the",7
"not a good feeling","not a good","feeling",7
"not able to get","not able to","get",7
"not always easy to","not always easy","to",7
"not an act but","not an act","but",7
"not an easy task","not an easy","task",7
"not as strong as","not as strong","as",7
"not far from the","not far from","the",7
"not going to lie","not going to","lie",7
"not gonna lie i","not gonna lie","i",7
